"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"patchwork","patchwork","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.3.0",NA,NA,"ggplot2 (>= 3.0.0), gtable, grid, stats, grDevices, utils,
graphics, rlang (>= 1.0.0), cli, farver",NA,"knitr, rmarkdown, gridGraphics, gridExtra, ragg, testthat (>=
2.1.0), vdiffr, covr, png, gt (>= 0.11.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.2"
"pbapply","pbapply","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.7-2",NA,"R (>= 3.2.0)","parallel",NA,"shiny, future, future.apply",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"pbivnorm","pbivnorm","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.6.0",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"pbkrtest","pbkrtest","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.5.3",NA,"R (>= 4.2.0), lme4 (>= 1.1.31)","broom, dplyr, MASS, methods, numDeriv, Matrix (>= 1.2.3), doBy",NA,"markdown, knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"pbmcapply","pbmcapply","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.5.1",NA,"utils, parallel",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"pcaPP","pcaPP","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.0-5",NA,"R(>= 3.6.2)","mvtnorm, methods",NA,"robustbase",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.4.2"
"pdftools","pdftools","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.4.1",NA,NA,"Rcpp (>= 0.12.12), qpdf","Rcpp","png, webp, tesseract, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
"penalized","penalized","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.9-52",NA,"R (>= 2.10.0), survival, methods","Rcpp","Rcpp, RcppArmadillo","globaltest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.2"
"performance","performance","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.12.4",NA,"R (>= 3.6)","bayestestR (>= 0.15.0), insight (>= 0.20.5), datawizard (>=
0.13.0), stats, utils",NA,"AER, afex, BayesFactor, bayesplot, betareg, bigutilsr,
blavaan, boot, brms, car, carData, CompQuadForm, correlation,
cplm, dagitty, dbscan, DHARMa, estimatr, fixest, flextable,
forecast, ftExtra, gamm4, ggdag, glmmTMB (>= 1.1.10), graphics,
Hmisc, httr2, ICS, ICSOutlier, ISLR, ivreg, lavaan, lme4,
lmtest, loo, MASS, Matrix, mclogit, mclust, metadat, metafor,
mgcv, mlogit, multimode, nestedLogit, nlme, nonnest2, ordinal,
parallel, parameters (>= 0.21.6), patchwork, pscl, psych,
quantreg, qqplotr (>= 0.0.6), randomForest, RcppEigen, rempsyc,
rmarkdown, rstanarm, rstantools, sandwich, see (>= 0.9.0),
survey, survival, testthat (>= 3.2.1), tweedie, VGAM, withr (>=
3.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"permute","permute","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.9-7",NA,"R (>= 2.14.0)","stats",NA,"vegan (>= 2.0-0), testthat (>= 0.5), parallel, knitr,
rmarkdown, bookdown, sessioninfo",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.2"
"pheatmap","pheatmap","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.12",NA,"R (>= 2.0)","grid, RColorBrewer, scales, gtable, stats, grDevices, graphics",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"pillar","pillar","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.9.0",NA,NA,"cli (>= 2.3.0), fansi, glue, lifecycle, rlang (>= 1.0.2), utf8
(>= 1.1.0), utils, vctrs (>= 0.5.0)",NA,"bit64, DBI, debugme, DiagrammeR, dplyr, formattable, ggplot2,
knitr, lubridate, nanotime, nycflights13, palmerpenguins,
rmarkdown, scales, stringi, survival, testthat (>= 3.1.1),
tibble, units (>= 0.7.2), vdiffr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"pkgbuild","pkgbuild","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.4.5",NA,"R (>= 3.5)","callr (>= 3.2.0), cli (>= 3.4.0), desc, processx, R6",NA,"covr, cpp11, knitr, Rcpp, rmarkdown, testthat (>= 3.2.0),
withr (>= 2.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.2"
"pkgconfig","pkgconfig","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.0.3",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"pkgdown","pkgdown","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.1.1",NA,"R (>= 4.0.0)","bslib (>= 0.5.1), callr (>= 3.7.3), cli (>= 3.6.1), desc (>=
1.4.0), digest, downlit (>= 0.4.4), fontawesome, fs (>= 1.4.0),
httr2 (>= 1.0.2), jsonlite, openssl, purrr (>= 1.0.0), ragg,
rlang (>= 1.1.0), rmarkdown (>= 2.27), tibble, whisker, withr
(>= 2.4.3), xml2 (>= 1.3.1), yaml",NA,"covr, diffviewer, evaluate (>= 0.24.0), gert, gt, htmltools,
htmlwidgets, knitr, lifecycle, magick, methods, pkgload (>=
1.0.2), quarto, rsconnect, rstudioapi, rticles, sass, testthat
(>= 3.1.3), tools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.2"
"pkgload","pkgload","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.4.0",NA,"R (>= 3.4.0)","cli (>= 3.3.0), desc, fs, glue, lifecycle, methods, pkgbuild,
processx, rlang (>= 1.1.1), rprojroot, utils, withr (>= 2.4.3)",NA,"bitops, jsonlite, mathjaxr, pak, Rcpp, remotes, rstudioapi,
testthat (>= 3.2.1.1), usethis",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"PKI","PKI","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.1-14",NA,"R (>= 2.9.0), base64enc",NA,NA,NA,"gmp","GPL-2 | GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"plogr","plogr","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.2.0",NA,NA,NA,NA,"Rcpp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"plotly","plotly","C:/Users/zhouy/AppData/Local/R/win-library/4.4","4.10.4",NA,"R (>= 3.2.0), ggplot2 (>= 3.0.0)","tools, scales, httr (>= 1.3.0), jsonlite (>= 1.6), magrittr,
digest, viridisLite, base64enc, htmltools (>= 0.3.6),
htmlwidgets (>= 1.5.2.9001), tidyr (>= 1.0.0), RColorBrewer,
dplyr, vctrs, tibble, lazyeval (>= 0.2.0), rlang (>= 0.4.10),
crosstalk, purrr, data.table, promises",NA,"MASS, maps, hexbin, ggthemes, GGally, ggalluvial, testthat,
knitr, shiny (>= 1.1.0), shinytest (>= 1.3.0), curl, rmarkdown,
Cairo, broom, webshot, listviewer, dendextend, sf, png,
IRdisplay, processx, plotlyGeoAssets, forcats, withr,
palmerpenguins, rversions, reticulate, rsvg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"pls","pls","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.8-5",NA,"R (>= 3.5.0)","grDevices, graphics, methods, stats",NA,"MASS, parallel, Rmpi, testthat, RUnit",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.2"
"plsgenomics","plsgenomics","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.5-3",NA,"R (>= 3.0)","MASS, boot, parallel, reshape2, plyr, fields, RhpcBLASctl",NA,"",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.2"
"plsRcox","plsRcox","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.7.7",NA,"R (>= 2.4.0)","survival, plsRglm, lars, pls, kernlab, mixOmics, risksetROC,
survcomp, survAUC, rms",NA,"survivalROC, plsdof","","GPL-3",NA,NA,NA,NA,"no","4.4.2"
"plsRglm","plsRglm","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.5.1",NA,"R (>= 2.10)","mvtnorm, boot, bipartite, car, MASS",NA,"plsdof, R.rsp, chemometrics, plsdepot","pls","GPL-3",NA,NA,NA,NA,"no","4.4.2"
"plyr","plyr","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.8.9",NA,"R (>= 3.1.0)","Rcpp (>= 0.11.0)","Rcpp","abind, covr, doParallel, foreach, iterators, itertools,
tcltk, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"png","png","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.1-8",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"polspline","polspline","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.1.25",NA,NA,"stats, graphics",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"polyclip","polyclip","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.10-7",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"BSL",NA,NA,NA,NA,"yes","4.4.1"
"polycor","polycor","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.8-1",NA,"R (>= 3.3.0)","stats, mvtnorm, Matrix, parallel, admisc (>= 0.22)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"polynom","polynom","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.4-1",NA,NA,"stats, graphics",NA,"knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"posterior","posterior","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.6.0",NA,"R (>= 3.2.0)","methods, abind, checkmate, rlang (>= 1.0.6), stats, tibble (>=
3.1.0), vctrs (>= 0.5.0), tensorA, pillar, distributional,
parallel, matrixStats",NA,"testthat (>= 2.1.0), caret (>= 6.0-84), gbm (>= 2.1.8),
randomForest (>= 4.6.14), e1071 (>= 1.7-3), dplyr, tidyr,
knitr, ggplot2, ggdist, rmarkdown",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"pracma","pracma","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.4.4",NA,"R (>= 3.1.0)","graphics, grDevices, stats, utils",NA,"NlcOptim, quadprog",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.1"
"praise","praise","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"prettyunits","prettyunits","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.2.0",NA,"R(>= 2.10)",NA,NA,"codetools, covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"pROC","pROC","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.18.5",NA,"R (>= 2.14)","methods, plyr, Rcpp (>= 0.11.1)","Rcpp","microbenchmark, tcltk, MASS, logcondens, doParallel,
testthat, vdiffr, ggplot2, rlang",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.4.1"
"processx","processx","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.8.4",NA,"R (>= 3.4.0)","ps (>= 1.2.0), R6, utils",NA,"callr (>= 3.7.3), cli (>= 3.3.0), codetools, covr, curl,
debugme, parallel, rlang (>= 1.0.2), testthat (>= 3.0.0),
webfakes, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"prodlim","prodlim","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2024.06.25",NA,"R (>= 2.9.0)","Rcpp (>= 0.11.5), stats, data.table, grDevices, graphics,
diagram, survival, KernSmooth, lava","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"profvis","profvis","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.4.0",NA,"R (>= 4.0)","htmlwidgets (>= 0.3.2), rlang (>= 1.1.0), vctrs",NA,"htmltools, knitr, rmarkdown, shiny, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
"progress","progress","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.2.3",NA,"R (>= 3.6)","crayon, hms, prettyunits, R6",NA,"Rcpp, testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"progressr","progressr","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.15.1",NA,"R (>= 3.5.0)","digest, utils",NA,"graphics, tcltk, beepr, cli, crayon, pbmcapply, progress,
purrr, foreach, plyr, doFuture, future, future.apply, furrr,
ntfy, RPushbullet, rstudioapi, shiny, commonmark, base64enc,
tools",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.2"
"proj4","proj4","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0-14",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.0"
"promises","promises","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.3.2",NA,NA,"fastmap (>= 1.1.0), later, magrittr (>= 1.5), R6, Rcpp, rlang,
stats","later, Rcpp","future (>= 1.21.0), knitr, purrr, rmarkdown, spelling,
testthat, vembedr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
"proxy","proxy","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.4-27",NA,"R (>= 3.4.0)","stats, utils",NA,"cba",NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.1"
"ps","ps","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.8.1",NA,"R (>= 3.4)","utils",NA,"callr, covr, curl, pillar, pingr, processx (>= 3.1.0), R6,
rlang, testthat (>= 3.0.0), webfakes, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
"pscl","pscl","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.5.9",NA,NA,"MASS, datasets, grDevices, graphics, stats, utils",NA,"lattice, MCMCpack, car, lmtest, sandwich, zoo, coda, vcd,
mvtnorm, mgcv",NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.1"
"psych","psych","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.4.6.26",NA,NA,"mnormt,parallel,stats,graphics,grDevices,methods,lattice,nlme,
GPArotation",NA,"psychTools, lavaan, lme4, Rcsdp, graph, knitr, Rgraphviz",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"purrr","purrr","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.2",NA,"R (>= 3.5.0)","cli (>= 3.6.1), lifecycle (>= 1.0.3), magrittr (>= 1.5.0),
rlang (>= 1.1.1), vctrs (>= 0.6.3)","cli","covr, dplyr (>= 0.7.8), httr, knitr, lubridate, rmarkdown,
testthat (>= 3.0.0), tibble, tidyselect",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"pwr","pwr","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.3-0",NA,NA,"stats, graphics",NA,"ggplot2, scales, knitr, rmarkdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.1"
"qpdf","qpdf","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.3.4",NA,NA,"Rcpp, askpass, curl","Rcpp","testthat",NA,"Apache License 2.0",NA,NA,NA,NA,"yes","4.4.2"
"quadprog","quadprog","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.5-8",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"quantreg","quantreg","C:/Users/zhouy/AppData/Local/R/win-library/4.4","5.99.1",NA,"R (>= 3.5), stats, SparseM","methods, graphics, Matrix, MatrixModels, survival, MASS",NA,"interp, rgl, logspline, nor1mix, Formula, zoo, R.rsp, conquer",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.2"
"QuickJSR","QuickJSR","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.4.0",NA,NA,NA,NA,"knitr, rmarkdown, tinytest",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
"R.cache","R.cache","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.16.0",NA,"R (>= 2.14.0)","utils, R.methodsS3 (>= 1.8.1), R.oo (>= 1.24.0), R.utils (>=
2.10.1), digest (>= 0.6.13)",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.4.1"
"R.methodsS3","R.methodsS3","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.8.2",NA,"R (>= 2.13.0)","utils",NA,"codetools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.4.0"
"R.oo","R.oo","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.27.0",NA,"R (>= 2.13.0), R.methodsS3 (>= 1.8.2)","methods, utils",NA,"tools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.4.1"
"R.utils","R.utils","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.12.3",NA,"R (>= 2.14.0), R.oo","methods, utils, tools, R.methodsS3",NA,"datasets, digest (>= 0.6.10)",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.4.1"
"R6","R6","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.5.1",NA,"R (>= 3.0)",NA,NA,"testthat, pryr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"ragg","ragg","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.3.3",NA,NA,"systemfonts (>= 1.0.3), textshaping (>= 0.3.0)","systemfonts, textshaping","covr, graphics, grid, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
"rainbow","rainbow","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.8",NA,"R (>= 4.0.0), MASS, pcaPP","hdrcde, cluster, colorspace, ks, methods",NA,"forecast",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"ranger","ranger","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.17.0",NA,"R (>= 3.1)","Rcpp (>= 0.11.2), Matrix","Rcpp, RcppEigen","survival, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.2"
"RANN","RANN","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.6.2",NA,NA,NA,NA,"testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.4.2"
"rappdirs","rappdirs","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.3.3",NA,"R (>= 3.2)",NA,NA,"roxygen2, testthat (>= 3.0.0), covr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"rbibutils","rbibutils","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.3",NA,"R (>= 2.10)","utils, tools",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.3"
"rcmdcheck","rcmdcheck","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.4.0",NA,NA,"callr (>= 3.1.1.9000), cli (>= 3.0.0), curl, desc (>= 1.2.0),
digest, pkgbuild, prettyunits, R6, rprojroot, sessioninfo (>=
1.1.1), utils, withr, xopen",NA,"covr, knitr, mockery, processx, ps, rmarkdown, svglite,
testthat, webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"RColorBrewer","RColorBrewer","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.1-3",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"Apache License 2.0",NA,NA,NA,NA,"no","4.4.0"
"Rcpp","Rcpp","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.13-1",NA,NA,"methods, utils",NA,"tinytest, inline, rbenchmark, pkgKitten (>= 0.1.2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.2"
"RcppAnnoy","RcppAnnoy","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.0.22",NA,"R (>= 3.1)","methods, Rcpp","Rcpp","tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"RcppArmadillo","RcppArmadillo","C:/Users/zhouy/AppData/Local/R/win-library/4.4","14.2.2-1",NA,"R (>= 3.3.0)","Rcpp (>= 1.0.12), stats, utils, methods","Rcpp","tinytest, Matrix (>= 1.3.0), pkgKitten, reticulate, slam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.2"
"RcppEigen","RcppEigen","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.3.4.0.2",NA,"R (>= 3.6.0)","Rcpp (>= 0.11.0), stats, utils","Rcpp","Matrix, inline, tinytest, pkgKitten, microbenchmark",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
"RcppHNSW","RcppHNSW","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.6.0",NA,NA,"methods, Rcpp (>= 0.11.3)","Rcpp","covr, testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.4.1"
"RcppML","RcppML","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.3.7",NA,NA,"Rcpp, Matrix, methods, stats","Rcpp, RcppEigen","knitr, rmarkdown, testthat (>= 3.0.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"RcppParallel","RcppParallel","C:/Users/zhouy/AppData/Local/R/win-library/4.4","5.1.9",NA,"R (>= 3.0.2)",NA,NA,"Rcpp, RUnit, knitr, rmarkdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.4.2"
"RcppProgress","RcppProgress","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.4.2",NA,NA,NA,NA,"RcppArmadillo, devtools, roxygen2, testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.1"
"RcppTOML","RcppTOML","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.2.2",NA,"R (>= 3.3.0)","Rcpp (>= 0.11.5)","Rcpp","tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"RCurl","RCurl","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.98-1.16",NA,"R (>= 3.4.0), methods","bitops",NA,"XML",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"Rdpack","Rdpack","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.6.3",NA,"R (>= 2.15.0), methods","tools, utils, rbibutils (>= 1.3)",NA,"grDevices, testthat, rstudioapi, rprojroot, gbRd",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"reactable","reactable","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.4.4",NA,"R (>= 3.1)","digest, htmltools (>= 0.5.2), htmlwidgets (>= 1.5.3),
jsonlite, reactR",NA,"covr, crosstalk, dplyr, fontawesome, knitr, leaflet, MASS,
rmarkdown, shiny, sparkline, testthat, tippy, V8",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"reactR","reactR","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.6.1",NA,NA,"htmltools",NA,"htmlwidgets (>= 1.5.3), rmarkdown, shiny, V8, knitr, usethis,
jsonlite",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.2"
"readr","readr","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.1.5",NA,"R (>= 3.6)","cli (>= 3.2.0), clipr, crayon, hms (>= 0.4.1), lifecycle (>=
0.2.0), methods, R6, rlang, tibble, utils, vroom (>= 1.6.0)","cpp11, tzdb (>= 0.1.1)","covr, curl, datasets, knitr, rmarkdown, spelling, stringi,
testthat (>= 3.2.0), tzdb (>= 0.1.1), waldo, withr, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"readxl","readxl","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.4.3",NA,"R (>= 3.6)","cellranger, tibble (>= 2.0.1), utils","cpp11 (>= 0.4.0), progress","covr, knitr, rmarkdown, testthat (>= 3.1.6), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"recipes","recipes","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.1.0",NA,"dplyr (>= 1.1.0), R (>= 3.6)","cli, clock (>= 0.6.1), generics (>= 0.1.2), glue, gower,
hardhat (>= 1.4.0), ipred (>= 0.9-12), lifecycle (>= 1.0.3),
lubridate (>= 1.8.0), magrittr, Matrix, purrr (>= 1.0.0), rlang
(>= 1.1.0), stats, tibble, tidyr (>= 1.0.0), tidyselect (>=
1.2.0), timeDate, utils, vctrs (>= 0.5.0), withr",NA,"covr, ddalpha, dials (>= 1.2.0), ggplot2, igraph, kernlab,
knitr, modeldata (>= 0.1.1), parsnip (>= 1.2.0), RANN,
RcppRoll, rmarkdown, rpart, rsample, RSpectra, splines2,
testthat (>= 3.0.0), workflows, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"reformulas","reformulas","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.4.0",NA,NA,"stats, methods, Matrix, Rdpack",NA,"lme4, tinytest",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.3"
"rematch","rematch","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.0.0",NA,NA,NA,NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"rematch2","rematch2","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.1.2",NA,NA,"tibble",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"remotes","remotes","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.5.0",NA,"R (>= 3.0.0)","methods, stats, tools, utils",NA,"brew, callr, codetools, covr, curl, git2r (>= 0.23.0), knitr,
mockery, pingr, pkgbuild (>= 1.0.1), rmarkdown, rprojroot,
testthat (>= 3.0.0), webfakes, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"rentrez","rentrez","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.2.3",NA,"R (>= 2.6.0)","XML, httr (>= 0.5), jsonlite (>= 0.9)",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.2"
"renv","renv","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.11",NA,NA,"utils",NA,"BiocManager, cli, compiler, covr, cpp11, devtools, gitcreds,
jsonlite, jsonvalidate, knitr, miniUI, modules, packrat, pak,
R6, remotes, reticulate, rmarkdown, rstudioapi, shiny,
testthat, uuid, waldo, yaml, webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.2"
